Database backup created at: 2025-08-06 23:28:04.650727

Record 24: {'id': 89, 'timestamp': 1727654400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2489187272665.038, 'btc_market_cap': 1297825615076.3352, 'eth_market_cap': 320146112155.9396, 'btc_price': 65663.68986662335, 'alt_market_cap': 871215545432.7633, 'alt_strength_ratio': 13267843.26623106, 'btc_dominance': 52.1385284798931, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 25: {'id': 90, 'timestamp': 1727740800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2403315873294.677, 'btc_market_cap': 1249577803402.1707, 'eth_market_cap': 312577514239.3695, 'btc_price': 63243.27532464382, 'alt_market_cap': 841160555653.1366, 'alt_strength_ratio': 13300395.201469965, 'btc_dominance': 51.99390630617104, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 26: {'id': 91, 'timestamp': 1727827200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2304878494026.564, 'btc_market_cap': 1202927109017.5488, 'eth_market_cap': 295243912099.71765, 'btc_price': 60872.668543725544, 'alt_market_cap': 806707472909.2975, 'alt_strength_ratio': 13252375.691889212, 'btc_dominance': 52.19047824582136, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 27: {'id': 92, 'timestamp': 1727913600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2281959523834.891, 'btc_market_cap': 1198652098493.4897, 'eth_market_cap': 284621591999.18945, 'btc_price': 60655.55979196848, 'alt_market_cap': 798685833342.2119, 'alt_strength_ratio': 13167561.820902813, 'btc_dominance': 52.527316368833944, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 28: {'id': 93, 'timestamp': 1728000000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2281681842935.201, 'btc_market_cap': 1200491237695.5154, 'eth_market_cap': 282601960212.3656, 'btc_price': 60727.86395169296, 'alt_market_cap': 798588645027.3202, 'alt_strength_ratio': 13150283.791680397, 'btc_dominance': 52.614313490402296, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 29: {'id': 94, 'timestamp': 1728086400, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2334756529557.67, 'btc_market_cap': 1226663492771.043, 'eth_market_cap': 290928251441.44226, 'btc_price': 62103.01047283253, 'alt_market_cap': 817164785345.1847, 'alt_strength_ratio': 13158215.344530843, 'btc_dominance': 52.539246694105614, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 30: {'id': 95, 'timestamp': 1728172800, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2334566502605.811, 'btc_market_cap': 1226761949791.163, 'eth_market_cap': 290706276902.6144, 'btc_price': 62091.932585194016, 'alt_market_cap': 817098275912.0336, 'alt_strength_ratio': 13159491.771188207, 'btc_dominance': 52.547740594318824, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 31: {'id': 96, 'timestamp': 1728259200, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2362077795907.062, 'btc_market_cap': 1241834324867.657, 'eth_market_cap': 293516242471.9333, 'btc_price': 62811.79972811266, 'alt_market_cap': 826727228567.4717, 'alt_strength_ratio': 13161973.262126632, 'btc_dominance': 52.57381137147432, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 32: {'id': 97, 'timestamp': 1728345600, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2342622311312.503, 'btc_market_cap': 1231091696620.0955, 'eth_market_cap': 291612805733.03143, 'btc_price': 62287.39010510681, 'alt_market_cap': 819917808959.376, 'alt_strength_ratio': 13163463.866053889, 'btc_dominance': 52.55186423672157, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
Record 33: {'id': 98, 'timestamp': 1728432000, 'data_source': 'coingecko_real_historical', 'total_market_cap': 2344473439036.683, 'btc_market_cap': 1229717180592.4397, 'eth_market_cap': 294190554781.40424, 'btc_price': 62185.230423727575, 'alt_market_cap': 820565703662.8391, 'alt_strength_ratio': 13195507.969843298, 'btc_dominance': 52.451742899579024, 'data_quality_score': 1.0, 'collection_latency_ms': 0, 'created_at': 1754511244}
